"","catalogNumber","scientificName","year","sex","stateProvince","decimalLatitude","decimalLongitude","wingID","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM10x","LM11x","LM12x","LM13x","LM14x","LM15x","LM16x","LM17x","LM18x","LM19x","LM20x","LM21x","LM22x","LM23x","LM24x","LM25x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","LM10y","LM11y","LM12y","LM13y","LM14y","LM15y","LM16y","LM17y","LM18y","LM19y","LM20y","LM21y","LM22y","LM23y","LM24y","LM25y"
"1","UCSB_IZC00012042","Halictus ligatus",2016,"Female","California",34.41911995,-119.8765799,"UCSB_IZC00012042_R",0.287345708186407,0.277817388582495,0.285230764861906,0.0904809479877576,0.0683449486653123,-0.114763913077591,-0.162916332167813,-0.188438666869267,-0.204372185433104,-0.176899823019946,-0.332537886457028,-0.347164419279997,-0.0961728524200202,-0.0235917740330686,0.0734696837165053,0.114379323549675,0.147207560267409,0.266588548912681,0.276671119747897,0.0692698621323919,-0.0552404066225597,-0.081109710234793,-0.105706432788708,-0.0490875005330063,-0.0188039536735343,-0.0126240997408984,0.0388582225174079,0.057022774205046,0.163809180688443,0.129675508818069,0.146404867435097,0.0696651812371162,0.0737524600301499,0.0519699603280931,-0.0238077099880651,-0.0241798686487771,-0.045573072203099,-0.116670409594697,-0.0915233704494488,-0.13078820047197,-0.114001655323907,-0.0743614883416492,-0.057181918508242,-0.0235100500840338,0.06715086839127,0.0156221595524687,0.0189229584310813,-0.0395223148096873,-0.0617642145988583,-0.01734576887091
"2","UCSB_IZC00012042","Halictus ligatus",2016,"Female","California",34.41911995,-119.8765799,"UCSB_IZC00012042_R",0.291237772173412,0.279506869832743,0.286469062691956,0.0941007115115123,0.0689974928827026,-0.115462527816456,-0.162772877537898,-0.192144393292884,-0.206906032270596,-0.177895473709368,-0.344102923848185,-0.356769897118265,-0.0932696270711715,-0.0242843544482558,0.0741181245605053,0.115138068733659,0.148494331758943,0.268133823507223,0.280534891073869,0.0721011148335412,-0.0526602347755345,-0.0817728562507479,-0.105418198968039,-0.0510329639737921,-0.0143399024788809,-0.0116041695394135,0.0348754115192515,0.0577014896484613,0.162555357782614,0.130877285546527,0.145573915100324,0.0707788620407574,0.0725579299553805,0.0529802744338346,-0.0268131272002348,-0.0237169685548954,-0.0453715480946665,-0.117211541475153,-0.0923126793034944,-0.126153145295683,-0.115395906970742,-0.0788029542644921,-0.0562762558419439,-0.0205159167299606,0.0679460645562093,0.0183303089716417,0.0201167876058219,-0.0383478860354077,-0.0620244467247376,-0.0197471411299899
"3","UCSB_IZC00012044","Halictus ligatus",2016,"Female","California",34.41829691,-119.8775966,"UCSB_IZC00012044_L",0.291529594463654,0.282934529297305,0.291325015720421,0.0985640207503565,0.0765347005296956,-0.110834097288232,-0.157358512357593,-0.188631097417919,-0.20446868476061,-0.179535310583095,-0.340522163201568,-0.349347616610528,-0.104561974051359,-0.0315866683359035,0.0734292931673573,0.109907183000093,0.139002723652741,0.267411611835927,0.279072343639814,0.0760410207748086,-0.0544107456767463,-0.0792064336301135,-0.106550632790045,-0.053937882241447,-0.0248002178870106,-0.0163220305097866,0.029812710328661,0.0576855771108376,0.168674492883839,0.136223128381732,0.154414986463962,0.083763877536631,0.0799838520202011,0.0379858868443725,-0.029930403453677,-0.0346917536672151,-0.0562765344443884,-0.124755537513949,-0.0918134412368125,-0.126180173387884,-0.115647082600599,-0.0781474559321633,-0.0598782116757778,-0.0244509013316164,0.0731251121333844,0.0273425184844884,0.0257765237106152,-0.0399416226019612,-0.0648720786711053,-0.0118814388717953
"4","UCSB_IZC00012044","Halictus ligatus",2016,"Female","California",34.41829691,-119.8775966,"UCSB_IZC00012044_R",0.294083668549574,0.284947191340705,0.295865033994456,0.092851183458824,0.0693995683148418,-0.116581264699961,-0.160280485050615,-0.190958493750025,-0.203168077580531,-0.177086915411783,-0.344793454832681,-0.350807574712118,-0.0946751496832365,-0.0196592465684947,0.0731128386929696,0.118032161013267,0.140035847778406,0.265695900697312,0.280909899666706,0.0688694983205685,-0.059387809233526,-0.0785280267805491,-0.106557271448257,-0.0542355187517209,-0.027083503324119,-0.0162643037328356,0.03494246769756,0.0623189514379006,0.162784329829781,0.130979674694945,0.142226450701265,0.0714707506844304,0.0715727639553421,0.0464311768066154,-0.0264048645077354,-0.030483558611299,-0.0441312994530267,-0.107642162872072,-0.0891091198757896,-0.125802334632339,-0.116324971238158,-0.0780662755140365,-0.0590372870077273,-0.0253024796027644,0.0694864450169135,0.0191038582078424,0.0209757038907758,-0.0396476737640845,-0.0592014640645485,-0.0148747780469617
"5","UCSB_IZC00012044","Halictus ligatus",2016,"Female","California",34.41829691,-119.8775966,"UCSB_IZC00012044_R",0.288569657076429,0.281078195412909,0.290331213505185,0.0917459655596458,0.0686432040097887,-0.116075970989942,-0.16020951720512,-0.190064918405516,-0.201256787486217,-0.174310980815726,-0.333911710719797,-0.345357332330321,-0.0943716359758468,-0.0271934332326809,0.0785998050964527,0.111077029598775,0.142422001043811,0.264685506433507,0.275855683720437,0.0686235687397169,-0.0582893094582673,-0.0783752155241546,-0.104437728949741,-0.0527778920307607,-0.024999397072563,-0.016191581609736,0.0372479148564349,0.0632775423155224,0.163697988736306,0.131788653394484,0.144272143868896,0.0699038887633239,0.0687106015926904,0.051064171019755,-0.0248706228924549,-0.0271729315986667,-0.0456242595058913,-0.11174537524707,-0.0855807786581884,-0.129701402610114,-0.115742980019846,-0.079906921343907,-0.0585689108949282,-0.024410956526236,0.0682719329981184,0.0173380585598395,0.0214746764815961,-0.0407071909667901,-0.0608967268822583,-0.015926933830876
"6","UCSB_IZC00012044","Halictus ligatus",2016,"Female","California",34.41829691,-119.8775966,"UCSB_IZC00012044_L",0.284017943691495,0.277054684210765,0.289271497909268,0.097998379037503,0.0757276487706008,-0.109007427845805,-0.154452758942098,-0.186211242162741,-0.20193468419053,-0.177089725436019,-0.336433834387338,-0.343279684085777,-0.0960557719986815,-0.0314086381323116,0.0667475892353843,0.108900441238167,0.138436168348577,0.265626644147789,0.274590955128071,0.0716756484328577,-0.0557680213904715,-0.0758211153610008,-0.106061255763809,-0.0524540981768819,-0.0240693422770101,-0.0164670127441126,0.0330960457098953,0.0548240126261042,0.171241889272757,0.135256996957906,0.154890924359707,0.0818563867488047,0.078871613194503,0.0406099461927165,-0.0305063206215079,-0.0364488682773291,-0.0578093642238176,-0.123363335516138,-0.0918466875626988,-0.126265586601716,-0.115290737442602,-0.0787999207650185,-0.0567775460084644,-0.0261747283980208,0.0731408766875302,0.0265621927465866,0.0261556495243643,-0.0412934981172857,-0.0650182196756692,-0.0104447080664884
"7","UCSB_IZC00012431","Halictus ligatus",2016,"Female","California",34.41823906,-119.8772178,"UCSB_IZC00012431_R",0.283886878931777,0.276035717617614,0.286734228965698,0.100400601417979,0.0745851397196954,-0.106162495189818,-0.157012652221043,-0.186052632076206,-0.203808429774298,-0.180938282191295,-0.340150835021326,-0.352267180298087,-0.0894680394516767,-0.0271531652710382,0.0691704987261095,0.110141448879144,0.140505993430882,0.258862935286746,0.272227429736037,0.0756377483449726,-0.0522007783819575,-0.0700802944271232,-0.106110082255546,-0.0556354765092153,-0.0211482779880325,-0.0182343519875748,0.0376719929077141,0.0612289036805936,0.165189571736323,0.135395845530349,0.155778946364158,0.0772458393968905,0.0761416521178108,0.0336412523345507,-0.0298403811841302,-0.0311471250607908,-0.0532016609430878,-0.120558811226543,-0.0884672792326031,-0.12389661445675,-0.114407641779944,-0.0803878343120615,-0.0591221374979824,-0.025742628886689,0.0691912017702086,0.0249023821838353,0.0246076119864224,-0.040713517868983,-0.06418851595433,-0.0110866996173848
"8","UCSB_IZC00012431","Halictus ligatus",2016,"Female","California",34.41823906,-119.8772178,"UCSB_IZC00012431_R",0.289196677063889,0.279213268861548,0.290305997316571,0.100134356491651,0.0749862658705034,-0.107129372451289,-0.156616849907997,-0.189800613494749,-0.206620288032333,-0.182287428737649,-0.345880737123827,-0.355725745021916,-0.094653776974351,-0.0284586363066468,0.0708057656514696,0.114988724347652,0.141345252105646,0.263897561136536,0.278403218557174,0.0766164139696775,-0.0533163949154838,-0.0729108909131894,-0.108647936799601,-0.0561111897101769,-0.0217336409831179,-0.0169124658500996,0.0391087799746502,0.0607474317547992,0.165813272688508,0.133505763523982,0.155552820293882,0.0747890094647332,0.0770191636058658,0.0377642100016037,-0.0285129431557397,-0.031950078317879,-0.0501553763112692,-0.122907276467094,-0.0887417602057984,-0.125940420422498,-0.117403982017165,-0.0795388482706837,-0.0600819392034924,-0.0268301976589034,0.0686295765689476,0.0241778040967245,0.0253957989688499,-0.0406202247879367,-0.0608368630819022,-0.0120712551920954
"9","UCSB_IZC00012431","Halictus ligatus",2016,"Female","California",34.41823906,-119.8772178,"UCSB_IZC00012431_L",0.28511615704503,0.273495519448766,0.285186097273017,0.0988883748083354,0.0772325354207416,-0.102412822364499,-0.155661840610567,-0.181317321209054,-0.202345414622083,-0.178593776513254,-0.336285112328588,-0.345975447808268,-0.101328482940723,-0.0276870275976956,0.0685899040302839,0.110972516444232,0.140637175979609,0.26500415018524,0.27346776047865,0.0706283791536075,-0.052476371649971,-0.0722278248977728,-0.109848773690208,-0.0588295161984842,-0.0242288378363518,-0.0157422016954796,0.0382209603923953,0.0622687219561007,0.169635663904005,0.134555241253521,0.16047416448552,0.0763608894794918,0.0787606513590024,0.0425164360481133,-0.02949410777646,-0.0319666608540133,-0.0557697774631121,-0.126684424629575,-0.0967399706657875,-0.12572605539648,-0.119555317340539,-0.0786109849786971,-0.0572716884724506,-0.026156279019799,0.0706102734315525,0.0234301656763447,0.0256839083181116,-0.0426365304817431,-0.064016580549875,-0.0121464969801457
"10","UCSB_IZC00012431","Halictus ligatus",2016,"Female","California",34.41823906,-119.8772178,"UCSB_IZC00012431_L",0.28846593629027,0.280413012556875,0.289489664993867,0.100171469266871,0.0765547900518509,-0.105295208838217,-0.158859671313733,-0.187999626350941,-0.206721260382798,-0.17896014856955,-0.341504932440438,-0.352232158151618,-0.1015736535999,-0.0299176084989287,0.0704438430843024,0.110838798305983,0.142821439490038,0.270562229333281,0.275148591608941,0.0737251259816324,-0.0529963056167142,-0.0702064218789478,-0.109211055050144,-0.0602709778679735,-0.0228858724040109,-0.0172398718152406,0.0387498793607337,0.0629784523341925,0.168911396633424,0.135199935305419,0.161663697748392,0.0798250233357639,0.0795417110799077,0.0401974551032559,-0.0299024121212372,-0.031966719591143,-0.0526897276645497,-0.12772810334218,-0.0966255530843616,-0.130026596707679,-0.118144131050912,-0.0805557964505222,-0.0590673036940888,-0.0261960038399978,0.0713138140388167,0.0237943351740494,0.0260450099214955,-0.0413995930244706,-0.0630433615041982,-0.0136355361448696
